floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check
flat_plate,20.0,20.0,12.007874015748031,250.0,FEA,12.5,6.46,1.935,154.7693189283585,12.5,481.9841116284415,609.7231827140303,0.9936541381684458,true,188.53261698383642,false,0,0,0,0.14173231953340165,true,0.09455021316204616,0.6671041119860017,17.0,34.5,0.07703703703703704,17.200000000000003,5.6000000000000005,22.8,false,0,true,14.848,0.0,0.0,0.0,,16,3,7.5,7.5,15.0,0.99,579.5,6427.4,true,true,,
flat_plate,24.0,24.0,12.007874015748031,50.0,MDDM,9.606299212598426,8.02,1.198,118.9408309244708,9.606299212598426,360.699581117683,246.7289971093649,0.9445659285025225,true,179.21878405558377,false,0,0,0,0.06138586605046984,true,0.04914091639210841,0.8005249343832022,20.0,31.499999999999996,0.078125,16.0,5.199999999999999,21.200000000000003,false,0,false,0.028,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.981,312.8,3678.2,true,true,,
flat_plate,24.0,24.0,12.007874015748031,50.0,DDM (Full),9.606299212598426,8.02,1.198,118.9408309244708,9.606299212598426,360.699581117683,246.7289971093649,0.9445659285025225,true,179.21878405558377,false,0,0,0,0.061385866050469876,true,0.049140916392108436,0.8005249343832022,20.0,31.499999999999996,0.049375,16.799999999999997,5.199999999999999,21.999999999999996,false,0,false,0.027,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.981,312.8,3678.2,true,true,,
flat_plate,24.0,24.0,12.007874015748031,50.0,EFM (HC),9.606299212598426,8.11,1.184,118.9408309244708,9.606299212598426,369.0906027990288,246.7289971093649,0.9990619995185057,true,189.55868653203134,false,0,0,0,0.061385866050469876,true,0.049140916392108436,0.8005249343832022,20.0,22.5,0.07703703703703704,20.599999999999998,5.199999999999999,25.799999999999997,false,0,false,0.036,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.981,312.8,3678.2,true,true,,
flat_plate,24.0,24.0,12.007874015748031,50.0,EFM (ASAP),9.606299212598426,8.11,1.184,118.9408309244708,9.606299212598426,369.26285274107886,246.7289971093649,0.9903467402809102,true,187.90508235665388,false,0,0,0,0.061385866050469876,true,0.049140916392108436,0.8005249343832022,20.0,22.0,0.07703703703703704,20.4,5.199999999999999,25.599999999999994,false,0,false,0.047,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.981,312.8,3678.2,true,true,,
flat_plate,24.0,24.0,12.007874015748031,50.0,FEA,9.606299212598426,8.02,1.197,118.9408309244708,9.606299212598426,361.040183147519,246.7289971093649,0.9850818680938024,true,186.90614309459792,false,0,0,0,0.11499746272177391,true,0.0920583362995828,0.8005249343832022,20.0,33.0,0.062,16.2,5.199999999999999,21.400000000000002,false,0,false,2.699,0.0,0.0,0.0,,16,3,5.75,5.75,12.0,0.981,312.8,3678.2,true,true,,
flat_plate,24.0,24.0,12.007874015748031,150.0,MDDM,14.0,7.86,1.781,173.34163719976155,14.0,663.2736812943367,472.00996463971376,0.9860939042841576,true,187.09816346076045,false,0,0,0,0.059494095222260256,true,0.04762650667398787,0.8005249343832022,22.5,36.0,0.062400000000000004,21.4,7.6,28.999999999999996,false,0,false,0.119,0.0,0.0,0.0,,16,3,8.0,8.0,16.0,0.97,669.8,7394.4,true,true,,
flat_plate,24.0,24.0,12.007874015748031,150.0,DDM (Full),14.0,7.86,1.781,173.34163719976155,14.0,663.2736812943367,472.00996463971376,0.9860939042841576,true,187.09816346076045,false,0,0,0,0.059494095222260256,true,0.04762650667398787,0.8005249343832022,22.5,36.0,0.07800000000000001,22.4,7.6,29.999999999999996,false,0,false,0.109,0.0,0.0,0.0,,16,3,8.0,8.0,16.0,0.97,669.8,7394.4,true,true,,
flat_plate,24.0,24.0,12.007874015748031,150.0,EFM (HC),11.0,7.84,1.404,136.1970006569555,11.0,596.596658328416,427.4364007883466,0.9889180592698699,true,187.6340091939707,false,0,0,0,0.1226534915776726,true,0.098187178297087,0.8005249343832022,20.0,34.5,0.07800000000000001,30.6,6.4,37.00000000000001,false,0,true,0.08,0.0,0.0,0.0,,16,3,7.5,7.5,15.0,1.0,579.5,6427.4,true,true,,
flat_plate,24.0,24.0,12.007874015748031,150.0,EFM (ASAP),10.5,7.83,1.34,130.00622789982114,10.5,585.944527064074,420.0074734797854,0.9976102252877443,true,189.28323173897866,false,0,0,0,0.1410230405268392,true,0.11289246026426761,0.8005249343832022,20.0,35.0,0.07800000000000001,33.599999999999994,9.0,42.599999999999994,true,0,true,0.052,0.0,0.0,0.0,,16,3,7.5,7.5,15.0,0.982,579.5,6427.4,true,true,,
