floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,16.0,12.007874015748031,125.0,FEA,5.999999999999999,74.2892730856121,5.999999999999999,113.69023862545946,313.1471277027345,0.8444462288351898,true,135.33219440040156,false,0,0,0,0.553786121154808,true,0.2955463988665205,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,8.6,2.8,11.399999999999999,true,0,19.859,0.0,0.0,0.0,nomin,1.358695652173913,true
flat_plate,16.0,16.0,12.007874015748031,200.0,MDDM,5.0,61.9077275713434,5.0,143.52419839230393,418.2892730856121,0.9787387998372478,true,195.5604362605029,true,12,8,3,0.5159562976075291,true,0.27535725419124485,0.5336832895888015,31.99999999999999,35.999999999999986,0.019506172839506175,14.8,3.0000000000000004,17.8,false,0,1.498,0.0,0.0,0.0,nomin,2.1739130434782608,false
flat_plate,16.0,16.0,12.007874015748031,200.0,DDM (Full),5.0,61.9077275713434,5.0,143.52419839230393,418.2892730856121,0.9787387998372478,true,195.5604362605029,true,12,8,3,0.515956297607529,true,0.2753572541912448,0.5336832895888015,31.99999999999999,35.999999999999986,0.019506172839506175,16.2,3.8,20.0,true,0,0.764,0.0,0.0,0.0,nomin,2.1739130434782608,false
flat_plate,16.0,16.0,12.007874015748031,200.0,EFM (HC),5.0,61.9077275713434,5.0,145.35687954966653,418.2892730856121,0.9757894840508705,true,213.0396340156207,true,14,8,3,0.5159562976075293,true,0.2753572541912449,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,30.6,4.6000000000000005,35.199999999999996,true,0,0.636,0.0,0.0,0.0,nomin,2.1739130434782608,true
flat_plate,16.0,16.0,12.007874015748031,200.0,EFM (ASAP),5.0,61.9077275713434,5.0,145.35687954966653,418.2892730856121,0.9757894840508705,true,208.8386635377545,true,14,8,3,0.515956297607529,true,0.2753572541912448,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,29.999999999999996,4.6000000000000005,34.599999999999994,true,0,0.813,0.0,0.0,0.0,nomin,2.1739130434782608,true
flat_plate,16.0,16.0,12.007874015748031,200.0,FEA,7.0,86.67081859988077,7.0,157.65851442208435,448.00498231985694,0.906514241440446,true,146.02396961910702,false,0,0,0,0.5928813883123751,true,0.316410889650524,0.5336832895888015,23.999999999999996,35.999999999999986,0.019506172839506175,10.0,3.2,13.199999999999998,false,0,23.377,0.0,0.0,0.0,nomin,2.1739130434782608,true
flat_plate,16.0,20.0,12.007874015748031,40.0,MDDM,5.0,61.9077275713434,5.0,83.53050010371486,162.28927308561208,0.9964373021025917,true,181.0092049268014,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,25.999999999999996,0.019506172839506175,22.99,33.17999999999999,56.169999999999995,true,0,0.449,0.0,0.0,0.0,nomin,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,DDM (Full),5.0,61.9077275713434,5.0,83.53050010371486,162.28927308561208,0.9964373021025917,true,181.0092049268014,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,25.999999999999996,0.019506172839506175,8.799999999999999,33.17999999999999,41.98,true,0,0.445,0.0,0.0,0.0,nomin,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,84.99270464606411,162.28927308561208,0.9964373021025917,true,181.0092049268014,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,22.0,0.019506172839506175,11.2,33.17999999999999,44.379999999999995,true,0,0.316,0.0,0.0,0.0,nomin,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,EFM (ASAP),5.0,61.9077275713434,5.0,85.23763887787794,162.28927308561208,0.9964373021025917,true,181.0092049268014,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,18.0,20.0,0.019506172839506175,11.4,17.99,29.389999999999997,true,0,0.293,0.0,0.0,0.0,nomin,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,40.0,FEA,5.0,61.9077275713434,5.0,81.3609817319063,162.28927308561208,0.9876672221418286,true,165.92533683487594,false,0,0,0,0.28223942742974334,true,0.15062646608236524,0.5336832895888015,18.0,29.999999999999993,0.019506172839506175,7.800000000000001,17.99,25.79,true,4,14.252,0.0,0.0,0.0,nomin,0.36363636363636365,true
flat_plate,16.0,20.0,12.007874015748031,80.0,MDDM,5.0,61.9077275713434,5.0,102.06046135497824,226.28927308561205,0.9998296538823631,true,147.33980962359038,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,23.999999999999996,33.999999999999986,0.019506172839506175,10.0,33.17999999999999,43.18,false,0,0.797,0.0,0.0,0.0,nomin,0.7272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,80.0,DDM (Full),5.0,61.9077275713434,5.0,102.06046135497824,226.28927308561205,0.9998296538823631,true,147.33980962359038,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,23.999999999999996,33.999999999999986,0.019506172839506175,10.799999999999999,17.99,28.79,true,0,0.763,0.0,0.0,0.0,nomin,0.7272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,80.0,EFM (HC),5.0,61.9077275713434,5.0,101.42802390694428,226.28927308561205,0.9806982186152947,true,140.37191887162643,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,18.0,33.999999999999986,0.019506172839506175,15.999999999999998,3.2,19.199999999999996,true,0,0.673,0.0,0.0,0.0,nomin,0.7272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,80.0,EFM (ASAP),5.0,61.9077275713434,5.0,101.74399693027021,226.28927308561205,0.9972394744761945,true,145.31969395843794,false,0,0,0,0.2063825190430117,true,0.11014290167649796,0.5336832895888015,18.0,33.999999999999986,0.019506172839506175,15.799999999999999,3.2,19.0,true,0,0.735,0.0,0.0,0.0,nomin,0.7272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,80.0,FEA,5.5,68.09850032847775,5.5,106.72352917029704,233.71820039417327,0.9303460341709888,true,144.654344255528,false,0,0,0,0.716436847223726,true,0.3823503734089877,0.5336832895888015,18.0,35.999999999999986,0.019506172839506175,9.0,18.389999999999997,27.389999999999997,true,1,20.834,0.0,0.0,0.0,nomin,0.7272727272727273,true
