floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,20.0,12.007874015748031,150.0,MDDM,7.0,6.36,1.101,86.67081859988077,7.0,167.7843300163194,368.0049823198569,0.9931115418580411,true,188.42966657238344,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,23.5,35.0,0.07142857142857142,11.2,3.2,14.399999999999999,false,0,false,0.362,0.0,0.0,0.0,,16,3,5.25,5.25,12.0,0.975,253.0,3261.1,true,true,,,nomin,1.3636363636363635,true
flat_plate,16.0,20.0,12.007874015748031,150.0,DDM (Full),7.0,6.36,1.101,86.67081859988077,7.0,167.7843300163194,368.0049823198569,0.9931115418580411,true,188.42966657238344,false,0,0,0,0.14102304052683926,true,0.07526164017617845,0.5336832895888015,23.5,35.0,0.04489795918367347,12.0,3.2,15.2,false,0,false,0.215,0.0,0.0,0.0,,16,3,5.25,5.25,12.0,0.975,253.0,3261.1,true,true,,,nomin,1.3636363636363635,true
flat_plate,16.0,20.0,12.007874015748031,150.0,EFM (HC),7.0,6.3,1.11,86.67081859988077,7.0,164.0509220707683,368.0049823198569,0.8572931835631973,true,144.32220589451055,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,17.0,35.0,0.06171875,16.599999999999998,3.5999999999999996,20.2,false,0,true,0.29,0.0,0.0,0.0,,16,3,5.25,5.25,12.0,0.975,253.0,3261.1,true,true,,,nomin,1.3636363636363635,true
flat_plate,16.0,20.0,12.007874015748031,150.0,EFM (ASAP),7.0,6.3,1.111,86.67081859988077,7.0,163.8589572922203,368.0049823198569,0.8572931835631973,true,144.32220589451055,false,0,0,0,0.1410230405268392,true,0.07526164017617842,0.5336832895888015,17.0,35.5,0.06171875,18.2,4.8,23.0,true,0,true,0.255,0.0,0.0,0.0,,16,3,5.25,5.25,12.0,0.975,253.0,3261.1,true,true,,,nomin,1.3636363636363635,true
flat_plate,16.0,20.0,12.007874015748031,150.0,FEA,7.5,6.45,1.163,92.86159135701512,7.5,177.56974007857394,375.43390962841806,0.9804204884691398,true,186.02170849543984,false,0,0,0,0.3823401537502297,true,0.20404855099531075,0.5336832895888015,17.0,35.5,0.07142857142857142,10.0,3.8,13.799999999999999,true,0,true,21.622,0.0,0.0,0.0,,16,3,5.25,5.25,12.0,0.995,253.0,3261.1,true,true,,,nomin,1.3636363636363635,true
flat_plate,16.0,20.0,12.007874015748031,250.0,MDDM,9.5,6.35,1.497,117.62468238555248,9.5,256.1794167352763,565.1496188626629,0.9933580078966276,true,188.4764302152522,false,0,0,0,0.09402906721233584,true,0.050181741906845906,0.5336832895888015,22.5,36.0,0.06171875,13.0,4.3999999999999995,17.4,false,0,false,0.308,0.0,0.0,0.0,,16,3,6.5,6.5,13.0,0.978,405.8,5479.4,true,true,,,nomin,2.272727272727273,false
flat_plate,16.0,20.0,12.007874015748031,250.0,DDM (Full),9.5,6.35,1.497,117.62468238555248,9.5,256.1794167352763,565.1496188626629,0.9933580078966276,true,188.4764302152522,false,0,0,0,0.09402906721233584,true,0.050181741906845906,0.5336832895888015,22.5,36.0,0.078125,13.8,4.3999999999999995,18.2,false,0,false,0.281,0.0,0.0,0.0,,16,3,6.5,6.5,13.0,0.978,405.8,5479.4,true,true,,,nomin,2.272727272727273,false
flat_plate,16.0,20.0,12.007874015748031,250.0,EFM (HC),8.0,6.31,1.268,99.05236411414946,8.0,242.37767295194348,542.8628369369793,0.9980034858323439,true,188.82494567070793,false,0,0,0,0.15745736621323525,true,0.084032365170668,0.5336832895888015,18.0,36.0,0.06172839506172839,21.400000000000002,4.6000000000000005,26.000000000000004,false,0,true,0.309,0.0,0.0,0.0,,16,3,6.5,6.5,12.0,0.98,373.2,4721.0,true,true,,,nomin,2.272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,250.0,EFM (ASAP),8.0,6.32,1.266,99.05236411414946,8.0,243.60764672776057,542.8628369369793,0.9964305506078308,true,188.0024595442006,false,0,0,0,0.15745736621323525,true,0.084032365170668,0.5336832895888015,18.0,35.0,0.06172839506172839,23.6,6.4,30.0,true,0,true,0.383,0.0,0.0,0.0,,16,3,6.5,6.5,12.0,0.98,373.2,4721.0,true,true,,,nomin,2.272727272727273,true
flat_plate,16.0,20.0,12.007874015748031,250.0,FEA,10.0,6.45,1.55,123.8154551426868,10.0,270.8136399261896,572.5785461712242,0.9860091212311543,true,187.08207700749205,false,0,0,0,0.23458697327038383,true,0.1251951475896187,0.5336832895888015,17.0,35.0,0.06171875,12.0,4.3999999999999995,16.4,false,0,true,32.62,0.0,0.0,0.0,,16,3,6.5,6.5,13.0,0.99,405.8,5479.4,true,true,,,nomin,2.272727272727273,true
