floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_slab,24.0,24.0,12.007874015748031,50.0,FEA,8.732999284180387,108.12802811315528,8.732999284180387,348.2132900164857,233.75363373578634,0.988716330295066,true,187.59573381214486,false,0,0,0,0.3061813915542656,true,0.245105838383336,0.8005249343832022,20.0,23.999999999999996,0.02925925925925926,18.2,5.0,23.2,true,0,6.723,2.25,4.002624671916011,4.002624671916011
flat_slab,24.0,24.0,12.007874015748031,80.0,MDDM,8.732999284180387,108.12802811315528,8.732999284180387,418.5160846772424,285.46809739006693,0.956799322115948,true,181.53990729549068,false,0,0,0,0.13072734034108055,true,0.10465049554863404,0.8005249343832022,20.0,25.999999999999996,0.02925925925925926,20.2,4.8,25.0,false,0,0.296,2.25,4.002624671916011,4.002624671916011
flat_slab,24.0,24.0,12.007874015748031,80.0,DDM (Full),8.732999284180387,108.12802811315528,8.732999284180387,418.5160846772424,285.46809739006693,0.956799322115948,true,181.53990729549068,false,0,0,0,0.13072734034108055,true,0.10465049554863404,0.8005249343832022,20.0,25.999999999999996,0.030864197530864196,21.6,5.2,26.8,false,0,0.323,2.25,4.002624671916011,4.002624671916011
flat_slab,24.0,24.0,12.007874015748031,80.0,EFM (HC),8.732999284180387,108.12802811315528,8.732999284180387,416.97371412551314,281.7536337357863,0.9816053495513481,true,186.24652007928006,false,0,0,0,0.13072734034108055,true,0.10465049554863404,0.8005249343832022,20.0,33.999999999999986,0.043209876543209874,24.799999999999997,5.0,29.8,false,0,0.769,2.25,4.002624671916011,4.002624671916011
flat_slab,24.0,24.0,12.007874015748031,80.0,EFM (ASAP),8.732999284180387,108.12802811315528,8.732999284180387,418.5401702300892,281.7536337357863,0.9654177671206571,true,183.17514226171755,false,0,0,0,0.13072734034108055,true,0.10465049554863404,0.8005249343832022,20.0,29.999999999999993,0.043209876543209874,25.4,5.4,30.799999999999997,false,0,0.492,2.25,4.002624671916011,4.002624671916011
flat_slab,24.0,24.0,12.007874015748031,80.0,FEA,8.732999284180387,108.12802811315528,8.732999284180387,416.5825589836652,281.7536337357863,0.9741262488797306,true,184.8274605009597,false,0,0,0,0.6923641851270826,true,0.554254793868137,0.8005249343832022,20.0,27.999999999999993,0.034135802469135806,21.400000000000002,5.6,27.0,true,0,9.963,2.25,4.002624671916011,4.002624671916011
flat_slab,28.0,28.0,12.007874015748031,40.0,MDDM,10.176568837986162,126.001650246614,10.176568837986162,585.3418130435449,246.21818942068901,0.9630637292710797,true,182.72849498354302,false,0,0,0,0.06536367017054029,true,0.060974639824443205,0.9328521434820647,23.0,23.0,0.043209876543209874,23.4,6.4,29.8,false,0,0.191,4.25,4.664260717410323,4.664260717410323
flat_slab,28.0,28.0,12.007874015748031,40.0,DDM (Full),10.176568837986162,126.001650246614,10.176568837986162,585.3418130435449,246.21818942068901,0.9630637292710797,true,182.72849498354302,false,0,0,0,0.06536367017054023,true,0.06097463982444315,0.9328521434820647,23.0,23.0,0.04876543209876544,24.800000000000004,6.4,31.200000000000006,false,0,0.129,4.25,4.664260717410323,4.664260717410323
flat_slab,28.0,28.0,12.007874015748031,40.0,EFM (HC),10.176568837986162,126.001650246614,10.176568837986162,565.9385131960137,239.20198029593675,0.990378669132151,true,187.9111404302335,false,0,0,0,0.0653636701705402,true,0.06097463982444312,0.9328521434820647,23.0,28.999999999999993,0.05851851851851852,28.200000000000003,6.4,34.6,false,0,0.367,4.25,4.664260717410323,4.664260717410323
flat_slab,28.0,28.0,12.007874015748031,40.0,EFM (ASAP),10.176568837986162,126.001650246614,10.176568837986162,568.6619707482298,239.20198029593675,0.9351409534072361,true,177.43052076409572,false,0,0,0,0.06536367017054036,true,0.06097463982444326,0.9328521434820647,23.0,23.0,0.06827160493827161,28.999999999999996,6.599999999999999,35.599999999999994,false,0,0.141,4.25,4.664260717410323,4.664260717410323
